"","WBid","gene_name","transcript_name","type","osc","Amplitude","Phase","delta"
"136","WBGene00004222","ptr-8","F44F4.4","Coding_transcript",TRUE,2.64913935800599,124.75533263951,"up"
"137","WBGene00004224","ptr-10","F55F8.1","Coding_transcript",TRUE,3.1934735666765,214.503600147806,"up"
"138","WBGene00004229","ptr-15","T07H8.6","Coding_transcript",TRUE,2.46300744062491,253.566084339052,"up"
"139","WBGene00004232","ptr-18","Y38F1A.3","Coding_transcript",TRUE,3.13580486370474,311.96712805491,"down"
"140","WBGene00004234","ptr-20","Y53F4B.28","Coding_transcript",TRUE,2.46255121122006,2.75293971659268,"down"
"141","WBGene00004236","ptr-22","Y80D3A.7","Coding_transcript",TRUE,0.975842004383292,226.615167628057,"up"
"142","WBGene00004256","pxn-1","ZK994.3","Coding_transcript",TRUE,0.93322537130654,116.013963517384,"up"
"143","WBGene00004257","pxn-2","K09C8.5","Coding_transcript",TRUE,1.49646286287708,143.978487783232,"up"
"144","WBGene00004321","rcn-1","F54E7.7","Coding_transcript",FALSE,NA,NA,"down"
"145","WBGene00004395","rol-3","C16D9.2","Coding_transcript",TRUE,1.2292842171398,223.773707701001,"up"
"146","WBGene00004397","rol-6","T01B7.7","Coding_transcript",TRUE,3.31262607992558,308.73185863253,"down"
"147","WBGene00004860","sma-6","C32D5.2","Coding_transcript",FALSE,NA,NA,"up"
"148","WBGene00004998","spp-13","F08F1.6","Coding_transcript",TRUE,3.46339229416202,293.191341685743,"down"
"149","WBGene00005004","spp-19","K04A8.9","Coding_transcript",TRUE,0.635825940533053,109.616063361626,"down"
"150","WBGene00006059","stc-1","F54C9.2","Coding_transcript",FALSE,NA,NA,"up"
"151","WBGene00006228","str-185","R08C7.7","Coding_transcript",FALSE,NA,NA,"down"
"152","WBGene00006366","sym-1","C44H4.3","Coding_transcript",TRUE,3.27330248329264,204.904458723514,"up"
"153","WBGene00006418","tag-38","B0222.4","Coding_transcript",TRUE,0.563047208576717,336.119663201781,"up"
"154","WBGene00006533","tba-7","T28D6.2","Coding_transcript",TRUE,1.39024452460823,136.160045414125,"down"
"155","WBGene00006534","tba-8","ZK899.4","Coding_transcript",TRUE,2.77155075213818,209.539948640463,"up"
"156","WBGene00006539","tbb-6","T04H1.9","Coding_transcript",FALSE,NA,NA,"up"
"157","WBGene00006598","tor-2","Y37A1B.13","Coding_transcript",FALSE,NA,NA,"up"
"158","WBGene00006611","tre-5","C23H3.7","Coding_transcript",TRUE,1.56921565257095,23.9938180707392,"down"
"159","WBGene00006656","twk-1","F21C3.1","Coding_transcript",TRUE,0.984484513475521,134.487728401916,"up"
"160","WBGene00006769","unc-33","Y37E11C.1","Coding_transcript",FALSE,NA,NA,"up"
"161","WBGene00006916","vha-7","C26H9A.1","Coding_transcript",TRUE,0.800785490410486,202.247974439986,"up"
"162","WBGene00006954","wrt-8","C29F3.2","Coding_transcript",TRUE,3.22505322468873,351.331540919265,"down"
"163","WBGene00006980","zig-3","C14F5.2","Coding_transcript",TRUE,1.01857173342869,3.24428271959107,"up"
"164","WBGene00006981","zig-4","C09C7.1","Coding_transcript",FALSE,NA,NA,"up"
"165","WBGene00007071","","AC3.5","Coding_transcript",TRUE,0.914603426943511,178.761998634026,"up"
"166","WBGene00007140","cyp-29A4","B0331.1","Coding_transcript",FALSE,NA,NA,"up"
"167","WBGene00007142","ttr-18","B0334.1","Coding_transcript",TRUE,1.40161100526392,158.899391320044,"down"
